# The odd ones
1,1,自然流量,0,2019-08-01 09:49:36,2019-08-01 09:49:36,"",-1,-1 # hahahahh
2,2,官网,1,2019-08-01 09:49:36,2019-08-01 09:49:36,"",-1,-1 # hahahahh
3,3,应用商店,1,2019-08-01 09:49:36,2019-08-01 09:49:36,"",-1,-1 # hahahahh
4,4,DSP,0,2019-08-01 09:49:36,2019-08-01 09:49:36,"",-1,-1 # hahahahh
5,5,ASO,0,2019-08-01 09:49:36,2019-08-01 09:49:36,"",-1,-1 # hahahahh
6,6,SEM,0,2019-08-01 09:49:36,2019-08-01 09:49:36,"",-1,-1
7,7,贷超,0,2019-08-01 09:49:36,2019-08-01 09:49:36,"",-1,-1
8,8,大额拒量,0,2019-08-01 09:49:37,2019-08-01 09:49:37,"",-1,-1
9,9,短信,0,2019-08-01 09:49:37,2019-08-01 09:49:37,"",-1,-1
10,10,电销,0,2019-08-01 09:49:37,2019-08-01 09:49:37,"",-1,-1
11,11,线下代理,0,2019-08-01 17:57:18,2019-08-01 17:57:18,"",-1,-1
12,12,其他,0,2019-08-01 17:57:23,2019-08-01 17:57:23,"",-1,-1
13,13,代理人,0,2019-10-26 16:58:05,2019-10-26 16:58:05,"",-1,-1
